Each line represents the instant in the time of the arrival of each order within the interval [0 - 14400000] expressed in ms. ;
The arrival instants are stored in this file, in the same order than in the file which contains the customer's orders.;
Order ID; Arrival Time
1;56719
2;149301
3;237052
4;272407
5;357995
6;486531
7;610451
8;673869
9;718478
10;760816
11;811689
12;840474
13;970943
14;1210241
15;1396567
16;1400138
17;1433383
18;1575822
19;1598238
20;1711999
21;1714530
22;1771842
23;2071163
24;2216071
25;2496152
26;2496375
27;2539107
28;2983983
29;3103107
30;3255142
31;3505271
32;3534819
33;3557805
34;3771724
35;4256794
36;4266656
37;4275042
38;4385435
39;4411619
40;4499824
41;4529104
42;4715008
43;4726306
44;4769167
45;4948515
46;5257917
47;5299684
48;5315201
49;5357421
50;5420686
51;5869248
52;5997068
53;6016613
54;6102556
55;6115152
56;6167532
57;6362681
58;6598779
59;6641442
60;6797978
61;7730411
62;7801558
63;8095577
64;8315813
65;8344184
66;8399894
67;8568123
68;8923982
69;9058241
70;9300716
71;9422893
72;9832023
73;9895148
74;9922428
75;9940096
76;10168797
77;10551517
78;10559762
79;10583840
80;10684773
