1	1	10800	1
2	3	14400	2
3	1	3600	5
4	5	14400	6
5	3	10800	11
6	2	7200	14
7	2	3600	16
8	7	9000	18
9	5	5400	25
10	4	7200	30
11	1	14400	34
12	6	9000	35
13	4	10800	41
14	2	3600	45
15	1	9000	47
16	1	7200	48
17	1	9000	49
18	2	12600	50
19	1	9000	52
20	1	7200	53
21	12	10800	54
22	2	9000	66
23	1	10800	68
24	1	7200	69
25	1	3600	70
26	2	10800	71
27	3	3600	73
28	3	10800	76
29	3	14400	79
30	3	9000	82
31	1	12600	85
32	3	9000	86
33	2	7200	89
34	2	12600	91
35	1	9000	93
36	3	7200	94
37	5	14400	97
38	5	10800	102
39	2	5400	107
40	1	7200	109
41	6	3600	110
42	4	12600	116
43	9	14400	120
44	7	10800	129
45	3	3600	136
46	1	7200	139
47	2	3600	140
48	1	10800	142
49	6	3600	143
50	1	12600	149
51	5	14400	150
52	5	10800	155
53	15	12600	160
54	15	12600	175
55	3	3600	190
56	2	3600	193
57	1	10800	195
58	1	10800	196
59	5	5400	197
60	1	3600	202
61	2	5400	203
62	1	10800	205
63	4	7200	206
64	1	7200	210
65	1	7200	211
66	7	10800	212
67	1	12600	219
68	1	12600	220
69	3	9000	221
70	4	10800	224
71	5	12600	228
72	4	14400	233
73	2	5400	237
74	1	10800	239
75	4	7200	240
76	2	5400	244
77	2	3600	246
78	8	12600	248
79	4	3600	256
80	1	7200	260
81	3	10800	261
82	2	7200	264
83	4	9000	266
84	3	5400	270
85	3	7200	273
86	2	3600	276
87	1	12600	278
88	1	3600	279
89	2	5400	280
90	5	12600	282
91	2	14400	287
92	13	12600	289
93	4	12600	302
94	2	10800	306
95	1	7200	308
96	3	12600	309
97	2	5400	312
98	1	14400	314
99	4	5400	315
100	2	5400	319
101	1	9000	321
102	8	14400	322
103	1	3600	330
104	7	3600	331
105	4	9000	338
106	1	7200	342
107	2	3600	343
108	1	5400	345
109	10	14400	346
110	4	5400	356
111	1	5400	360
112	6	3600	361
113	5	14400	367
114	3	3600	372
115	1	3600	375
116	1	3600	376
117	5	7200	377
118	2	14400	382
119	1	7200	384
120	2	9000	385
121	4	14400	387
122	2	12600	391
123	1	9000	393
124	3	12600	394
125	4	10800	397
126	4	7200	401
127	4	5400	405
128	2	3600	409
129	1	9000	411
130	2	14400	412
131	5	7200	414
132	1	5400	419
133	2	10800	420
134	3	5400	422
135	2	10800	425
136	1	14400	427
137	8	9000	428
138	7	14400	436
139	3	3600	443
140	2	14400	446
141	2	10800	448
142	2	12600	450
143	6	10800	452
144	2	3600	458
145	2	5400	460
146	1	7200	462
147	11	3600	463
148	1	7200	474
149	4	3600	475
150	3	10800	479
151	1	12600	482
152	4	3600	483
153	5	12600	487
154	2	10800	492
155	2	10800	494
156	6	12600	496
157	1	9000	502
158	14	10800	503
159	3	3600	517
160	1	10800	520
161	3	12600	521
162	1	12600	524
163	5	3600	525
164	3	14400	530
165	3	10800	533
166	1	10800	536
167	5	3600	537
168	1	9000	542
169	1	14400	543
170	4	3600	544
171	2	5400	548
172	8	5400	550
173	1	14400	558
174	2	10800	559
175	1	7200	561
176	4	14400	562
177	5	7200	566
178	4	10800	571
179	3	5400	575
180	4	5400	578
181	1	5400	582
182	1	9000	583
183	1	14400	584
184	1	3600	585
185	5	14400	586
186	6	9000	591
187	1	3600	597
188	1	12600	598
189	3	5400	599
190	1	14400	602
191	1	12600	603
192	2	14400	604
193	4	5400	606
194	4	9000	610
195	3	3600	614
196	1	12600	617
197	2	3600	618
198	1	7200	620
199	4	7200	621
200	1	14400	625
201	2	3600	626
202	1	5400	628
203	3	5400	629
204	3	5400	632
205	3	5400	635
206	1	10800	638
207	2	14400	639
208	9	14400	641
209	4	5400	650
210	7	12600	654
211	1	10800	661
212	2	10800	662
213	1	14400	664
214	15	9000	665
215	2	14400	680
216	15	10800	682
217	1	5400	697
218	3	10800	698
219	1	9000	701
220	2	7200	702
221	8	14400	704
222	1	9000	712
223	6	10800	713
224	1	9000	719
225	1	5400	720
226	4	7200	721
227	2	7200	725
228	1	3600	727
229	3	12600	728
230	3	5400	731
231	2	3600	734
232	2	7200	736
233	3	10800	738
234	3	3600	741
235	6	5400	744
236	5	5400	750
237	3	10800	755
238	4	9000	758
239	3	10800	762
240	2	10800	765
241	1	9000	767
242	4	10800	768
243	3	7200	772
244	7	12600	775
245	1	10800	782
246	1	5400	783
247	3	14400	784
248	4	14400	787
249	3	7200	791
250	2	14400	794
251	2	5400	796
252	1	14400	798
253	4	10800	799
254	3	9000	803
255	3	10800	806
256	4	10800	809
257	5	3600	813
258	1	5400	818
259	3	5400	819
260	6	7200	822
261	7	14400	828
262	3	10800	835
263	4	12600	838
264	1	14400	842
265	3	7200	843
266	11	7200	846
267	2	14400	857
268	3	7200	859
269	1	7200	862
270	1	9000	863
271	1	7200	864
272	6	12600	865
273	6	12600	871
274	4	12600	877
275	1	12600	881
276	2	3600	882
277	1	5400	884
278	1	5400	885
279	3	10800	886
280	5	14400	889
281	3	7200	894
282	2	9000	897
283	2	3600	899
284	1	14400	901
285	2	5400	902
286	2	9000	904
287	1	10800	906
288	2	9000	907
289	4	10800	909
290	2	3600	913
291	5	3600	915
292	9	3600	920
293	6	3600	929
294	4	7200	935
295	1	7200	939
296	8	10800	940
297	1	3600	948
298	1	7200	949
299	5	3600	950
300	2	10800	955
